ID	Primary	Secondary	Ytitle	Title	Slegend
116	S_SLSWP/STORAGE	SWPRULECV/RULECURVE	Storage	SWP San Luis Reservoir Operations	Rule Curve
202	C_LWSTN/FLOW-CHANNEL	MIF_C_LEWISTONDV/FLOW-MIN-REQUIRED	Flow	Trinity River	Minimum Instream Flow
203	D_CLEARTU/FLOW-TUNNEL	TRINITY_IMPORTDV/ALIAS	Flow	Trinity River Exports	Import Target
204	C_WKYTN_M/FLOW	C_WKYTN_MIF/FLOW-MIN-INSTREAM	Flow	Clear Creek	Minimum Instream Flow
205	D_SPRING/FLOW-TUNNEL	null	Flow	Spring Creek Tunnel	null
206	C_KSWCK/FLOW-CHANNEL	C_KSWCK_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Keswick	Minimum Instream Flow
207	C_REDBLF/FLOW-CHANNEL	C_REDBLF_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Red Bluff	Minimum Instream Flow
208	C_WILKNS/FLOW-CHANNEL	C_WILKNS_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Wilkins Slough	Minimum Instream Flow
209	C_THERM/FLOW-CHANNEL	C_THERM_MIF/FLOW-MIN-INSTREAM	Flow	Feather River at Thermolito	Minimum Instream Flow
210	C_YUBFEA/FLOW-CHANNEL	C_YUBFEA_MIF/FLOW-MIN-INSTREAM	Flow	Feather River Below Yuba Confluence	Minimum Instream Flow
211	C_NIMBUS/FLOW-CHANNEL	C_NIMBUS_MIF/FLOW-MIN-INSTREAM	Flow	American River at Nimbus	Minimum Instream Flow
212	D_FREWEIR/FLOW-DELIVERY	null	Flow	Fremont Weir	null
213	D_SACWEIR/FLOW-DELIVERY	null	Flow	Sacramento Weir	null
214	C_HOOD/FLOW-CHANNEL	D_HOOD/FLOW-DELIVERY	Flow	Sacramento River at Hood	Diversion
215	C_YOLOBP/FLOW-CHANNEL	null	Flow	Yolo Bypass	null
216	C_DXC/FLOW-CHANNEL	null	Flow	Delta Cross Channel	null
217	C_SACRV/FLOW-CHANNEL	C_SACRV_MIF/FLOW-MIN-INSTREAM	Flow	Sacramento River at Rio Vista	Minimum Instream Flow
218	C_OMR/FLOW-CHANNEL	C_INDNSL/FLOW-CHANNEL	Flow	Old and Middle River	Indian Slough Flow
219	C_SJRVI/FLOW-CHANNEL	null	Flow	San Joaquin River near Jersey Point (QWEST)	null
302	INFLOW/INFLOW-DELTA	null	Flow	Delta Inflow	null
303	C_SACSJR/FLOW-CHANNEL	null	Flow	Delta Outflow	null
304	D_DELTAREQD/FLOW-DELIVERY	null	Flow	Delta Required Outflow	null
305	EXPRATIO_/EI-RATIO-STD	null	null	Export-Inflow Ratio	null
306	X2_PRV/X2-POSITION-PREV	null	Position	X2 Position	null
307	null	null	null	null	null
310	D_JONES/FLOW-DELIVERY	null	Flow	Jones Exports	null
311	D_BANKS/FLOW-DELIVERY	null	Flow	Banks Exports	null
312	EXPORTACTUAL/EXPORT-PRJ	null	Flow	Total Exports	null
313	C_NBA/FLOW-CHANNEL	null	Flow	North Bay Aqueduct	null
314	D_CCWDVCOR/FLOW-DELIVERY	null	Flow	CCWD Alternative Intake Exports	null
315	D_CCWDINTK/FLOW-DELIVERY	null	Flow	CCWD Rock Slough Exports	null
316	D_CCWDINTK/FLOW-DELIVERY+D_CCWDVCOR/FLOW-DELIVERY	null	Flow	CCWD Total Exports	null
402	DEL_CVP_TOTAL_N/DELIVERY-CVP	null	Deliveries	CVP North of Delta Deliveries	null
403	DEL_CVP_TOTAL_S/DELIVERY-CVP	null	Deliveries	CVP South of Delta Deliveries	null
404	DEL_SWP_TOT_N/DELIVERY-SWP	null	Deliveries	SWP North of Delta Deliveries	null
405	SWP_TA_TOTAL/SWP_DELIVERY+SWP_CO_TOTAL/SWP_DELIVERY+SWP_IN_TOTAL/SWP_DELIVERY	null	Deliveries	SWP Total Deliveries	null
406	SWP_IN_TOTAL/SWP_DELIVERY	null	Deliveries	SWP Article 21 (Interruptible) Deliveries	null
409	null	null	null	null	null
410	JP_EC_MONTH/SALINITY	JP_EC_STD/SALINITY(-1)	Electrical Conductivity	Jersey Point Salinity	Salinity Standard
411	RS_EC_MONTH/SALINITY	RS_EC_STD/SALINITY(-1)	Electrical Conductivity	Rock Slough Salinity	Salinity Standard
412	EM_EC_MONTH/SALINITY	EM_EC_STD/SALINITY(-1)	Electrical Conductivity	Emmaton Salinity	Salinity Standard
413	null	null	null	null	null
414	null	null	null	null	null
415	null	null	null	null	null
416	null	null	null	null	null
417	null	null	null	null	null
418	null	null	null	null	null
502	null	null	null	null	null
503	null	null	null	null	null
504	null	null	null	null	null
505	null	null	null	null	null
508	null	null	null	null	null
509	null	null	null	null	null
510	null	null	null	null	null
511	null	null	null	null	null
512	null	null	null	null	null
513	null	null	null	null	null
516	null	null	null	null	null
517	null	null	null	null	null
518	null	null	null	null	null
519	null	null	null	null	null
520	null	null	null	null	null
801	SHORT_AD_HST/SHORTAGE-FLOW	null	Shortage	SHORT_AD_HST	null
802	SHORT_AD_KSWCK/SHORTAGE-FLOW	null	Shortage	SHORT_AD_KSWCK	null
803	SHORT_AD_NIMBUS/SHORTAGE-FLOW	null	Shortage	SHORT_AD_NIMBUS	null
804	SHORT_AD_REDBLF/SHORTAGE-FLOW	null	Shortage	SHORT_AD_REDBLF	null
805	SHORT_AD_SACAME/SHORTAGE-FLOW	null	Shortage	SHORT_AD_SACAME	null
806	SHORT_AD_SACFEA/SHORTAGE-FLOW	null	Shortage	SHORT_AD_SACFEA	null
807	SHORT_AD_THERM/SHORTAGE-FLOW	null	Shortage	SHORT_AD_THERM	null
808	SHORT_AD_WILKNS/SHORTAGE-FLOW	null	Shortage	SHORT_AD_WILKNS	null
809	SHORT_AD_YOLOBP/SHORTAGE-FLOW	null	Shortage	SHORT_AD_YOLOBP	null
810	SHORT_AD_YUBFEA/SHORTAGE-FLOW	null	Shortage	SHORT_AD_YUBFEA	null
851	short_swp_pwr/delivery-shortage-swp	null	Shortage	short_swp_pwr	null
852	short_swp_pag_n/delivery-shortage-swp	null	Shortage	short_swp_pag_n	null
853	short_swp_pag_s/delivery-shortage-swp	null	Shortage	short_swp_pag_s	null
854	short_swp_pag/delivery-shortage-swp	null	Shortage	short_swp_pag	null
855	short_swp_pmi_n/delivery-shortage-swp	null	Shortage	short_swp_pmi_n	null
856	short_swp_pmi_s/delivery-shortage-swp	null	Shortage	short_swp_pmi_s	null
857	short_swp_pmi/delivery-shortage-swp	null	Shortage	short_swp_pmi	null
858	short_swp_mwd/delivery-shortage-swp	null	Shortage	short_swp_mwd	null
859	short_swp_oth/delivery-shortage-swp	null	Shortage	short_swp_oth	null
860	short_swp_pls/delivery-shortage-swp	null	Shortage	short_swp_pls	null
861	short_swp_tot_n/delivery-shortage-swp	null	Shortage	short_swp_tot_n	null
862	short_swp_tot_s/delivery-shortage-swp	null	Shortage	short_swp_tot_s	null
863	short_swp_total/delivery-shortage-swp	null	Shortage	short_swp_total	null
881	short_cvp_pag_s/delivery-shortage-cvp	null	Shortage	short_cvp_pag_s	null
882	short_cvp_pmi_s/delivery-shortage-cvp	null	Shortage	short_cvp_pmi_s	null
883	short_cvp_pex_s/delivery-shortage-cvp	null	Shortage	short_cvp_pex_s	null
884	short_cvp_prf_s/delivery-shortage-cvp	null	Shortage	short_cvp_prf_s	null
885	short_cvp_pls_s/delivery-shortage-cvp	null	Shortage	short_cvp_pls_s	null
886	short_cvp_tot_s/delivery-shortage-cvp	null	Shortage	short_cvp_tot_s	null
901	C_SACSJR/FLOW-CHANNEL	NDO_SWRCB_DV/DELTAFLOWCRITERIA	Flow	Net_Delta_Outflow	Detla_OutFlow_Criteria
902	C_SACRV/FLOW-CHANNEL	RIOVISTA_SWRCB_DV/DELTAFLOWCRITERIA	Flow	Sacramento_River_at_Rio_Vista	Sacramento_River_Flow_Criteria_at_Rio_Vista
903	C_SJR/FLOW-ACCRDEPL	SJR_SWRCB_DV/DELTAFLOWCRITERIA	Flow	San_Joaquin_River_at_Vernalis	San_Joaquin_River_Flow_Criteria_at_Vernalis
904	EXTRAWATER_NDO/EXTRAWATER	null	Extra Water Needed	Net_Delta_Outflow	null
905	EXTRAWATER_RIOVISTA/EXTRAWATER	null	Extra Water Needed	Sacramento_River_at_Rio_Vista	null
906	EXTRAWATER_SJR/EXTRAWATER	null	Extra Water Needed	San_Joaquin_River_at_Vernalis	null
600	S_MELON/STORAGE	null	Storage	New Melones Reservoir Storage	null
601	S_PEDRO/STORAGE	null	Storage	New Don Pedro Reservoir Storage	null
602	S_MCLRE/STORAGE	null	Storage	Mclure Reservoir Storage	null
603	S_MLRTN/STORAGE	null	Storage	Millerton Reservoir Storage	null
604	C_VRNLIS/FLOW-CHANNEL	null	Flow	Flow from SJR to Vernalis 	null
605	C_STANRIPON/FLOW-CHANNEL	null	Flow	Flow of Ripon river to SJR	null
606	C_TUOL/FLOW-CHANNEL	null	Flow	Flow of Tuolumne River to SJR	null
607	C_MERCED3/FLOW-CHANNEL	null	Flow	Flow of Merced river to SJR	null
608	C_SJRMS/FLOW-CHANNEL	null	Flow	Flow of SJR at Mud Slough 	null
609	C_MDOTA/FLOW-CHANNEL	null	Flow	Flow of Mendota	null
610	D_STANRIPN/FLOW-DELIVERY+D_STANGDWN/FLOW-DELIVERY	null	Deliveries	Deliveries of Stanislaus	null
611	D_TUOL1A/FLOW-DELIVERY+D_TUOL1B/FLOW-DELIVERY+D_TUOL2/FLOW-DELIVERY	null	Deliveries	Deliveries of Tuolumne	null
612	D_MERCED1/FLOW-DELIVERY+D_MERCED2/FLOW-DELIVERY+D_MERCED3/FLOW-DELIVERY	null	Deliveries	Deliveries of Merced	null
613	D_MDRCNL/FLOW-DELIVERY+D_FKCNL/FLOW-DELIVERY	null	Deliveries	Deliveries of Friant	null
614	VERNWQFINAL/SALINITY-EC	null	Electrical Conductivity	Vernalis Salinity	Salinity Standard
